name,time,mean_value
ping4,1505361000000000000,0.03529
ping4,1505361300000000000,0.0366465
ping4,1505361600000000000,0.035267
ping4,1505361900000000000,0.036646
ping4,1505362200000000000,0.037624
ping4,1505362500000000000,0.033952
ping4,1505362800000000000,0.035523
ping4,1505363100000000000,0.03461
ping4,1505363400000000000,0.041253
ping4,1505363700000000000,0.040332
ping4,1505364000000000000,0.035934
ping4,1505364300000000000,0.035583
ping4,1505364600000000000,0.0357
ping4,1505364900000000000,0.035694
ping4,1505365200000000000,0.035546
ping4,1505365500000000000,0.035763
ping4,1505365800000000000,0.033979
ping4,1505366100000000000,0.034654
ping4,1505366400000000000,0.034853
ping4,1505366700000000000,0.033938
ping4,1505367000000000000,0.035587
ping4,1505367300000000000,0.036671
ping4,1505367600000000000,0.034866
ping4,1505367900000000000,0.035063
ping4,1505368200000000000,0.0339
ping4,1505368500000000000,0.034905
ping4,1505368800000000000,0.034514
ping4,1505369100000000000,0.034309
ping4,1505369400000000000,0.035136
ping4,1505369700000000000,0.033918
ping4,1505370000000000000,0.034193
ping4,1505370300000000000,0.033794
ping4,1505370600000000000,0.035008
ping4,1505370900000000000,0.034603
ping4,1505371200000000000,0.034658
ping4,1505371500000000000,0.035102
ping4,1505371800000000000,0.034241
ping4,1505372100000000000,0.034227
ping4,1505372400000000000,0.034288
ping4,1505372700000000000,0.034314
ping4,1505373000000000000,0.035016
ping4,1505373300000000000,0.033976
ping4,1505373600000000000,0.03439
ping4,1505373900000000000,0.035352
ping4,1505374200000000000,0.034077
ping4,1505374500000000000,0.037332
ping4,1505374800000000000,0.035648
ping4,1505375100000000000,0.037555
ping4,1505375400000000000,0.034583
ping4,1505375700000000000,0.035423
ping4,1505376000000000000,0.035336
ping4,1505376300000000000,0.036863
ping4,1505376600000000000,0.034602
ping4,1505376900000000000,0.035137
ping4,1505377200000000000,0.034119
ping4,1505377500000000000,0.034043
ping4,1505377800000000000,0.034224
ping4,1505378100000000000,0.034503
ping4,1505378400000000000,0.03413
ping4,1505378700000000000,0.03469
ping4,1505379000000000000,0.03425
ping4,1505379300000000000,0.034854
ping4,1505379600000000000,0.034611
ping4,1505379900000000000,0.034404
ping4,1505380200000000000,0.034358
